acronym,color,created_at,description,id,name,url
Local,#ffcc33,2020-02-27 15:07:59+00:00,,5,Local,
Peers,#996699,2020-02-27 15:07:59+00:00,,6,Peers,
OVCR,#cc6666,2020-03-05 15:44:37+00:00,"UCLA research and creative activities have generated some of the most transformative breakthroughs in modern times. From revolutionizing medical diagnostics and treatment to laying the framework to create the Internet or reshaping our understanding of the human condition, UCLA's research impact extends around the globe. ",8,Research and Creative Ideas,https://www3.research.ucla.edu/
QCBio,#66cc99,2020-03-05 09:11:49+00:00,"The Collaboratory, a central component of the Institute for Quantitative & Computational Biosciences (QCB), provides the experimental and empirical research environment where bioscientists and computational scientists work together to design and conduct experiments to improve our understanding of biological systems. As large-scale data analysis is often limited to most bioscience laboratories, the Collaboratory’s main mission is to facilitate genomic data analysis by bringing together UCLA bioscience faculty with a select group of QCB post-doctoral fellows dedicated to the Collaboratory. Individual post-doctoral fellows are assigned to work on specific bioscience research projects to develop and implement tailored methodologies for genomic analysis. In addition, the fellows are responsible for organizing intensive tutorials to train UCLA students and postdocs in the latest next-generation sequence analysis techniques. The Collaboratory has also set up and maintains a next-generation sequence data analysis server.",7,Institute for Quantitative and Computational Biosciences,https://qcb.ucla.edu/
IDRE,#666699,2020-02-05 18:04:29+00:00,"DRE supports research and innovative scholarship that takes advantage of new technologies and encourages collaboration between faculty from different departments and disciplines at UCLA, the opening of new research questions, and the enrichment of the learning environment. The goal of this campus-wide collective is to make UCLA a world leader in high-performance computing and visualization research and education.",1,Institute for Digital Research and Education,https://idre.ucla.edu/
DSC,#996666,2020-02-05 18:04:29+00:00,"The Data Science Center's mission is to foster a welcoming research community by developing data literacy and foundational coding skills through consulting and education. We support researchers throughout the full data life cycle of activities: planning research projects and data management plans; data acquisition, storage, cleaning, and usage; analysis; publication; curation; and preservation. ",2,Data Science Center,https://www.library.ucla.edu/location/data-science-center
Library,#669966,2020-02-26 12:51:06+00:00,"Consistently ranked among the top academic libraries in the country, the UCLA Library drives the world-class research, groundbreaking discoveries, and innovation for which UCLA is renowned. Whether on campus or online, the UCLA Library takes the lead in preserving cultural heritage, making knowledge accessible, and building a library of the future. Under the direction of Norman and Armena Powell University Librarian Ginny Steel, the UCLA Library system serves students, faculty, and researchers of all disciplines. ",3,Library,https://www.library.ucla.edu/
SIL,#ff9999,2020-02-26 12:51:55+00:00,"Breaking down disciplinary boundaries, the Scholarly Innovation Labs (SILs) provides the space, resources, and community needed to stimulate innovative and collaborative scholarship.",4,Scholarly Innovations Lab,https://drc.ucla.edu/labs/sil/
